2e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,9e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8.88e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2.5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,4.4e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.49e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.48e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.47e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,
/home/dsmu186/ths/workflow/blifs/des.blif,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.15301e-09,2.48865e-09,1.1558933771789262,,,1,2.15301e-09,2.48175e-09,1.152688561595162,,,1,2.14611e-09,2.49555e-09,1.162824831905168,,,1,2.14611e-09,2.49555e-09,1.162824831905168,,,2,2.15301e-09,2.83809e-09,1.3181963855253807,,,4,2.14611e-09,3.20133e-09,1.4916896151641807,,,5,2.15301e-09,3.18753e-09,1.4804993938718352,,,10,2.14611e-09,3.53697e-09,1.6480842081719949,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/misex3.blif,1,2.14611e-09,2.83119e-09,1.319219424912982,,,1,2.48175e-09,2.50245e-09,1.0083408884859475,,,1,2.14611e-09,2.83119e-09,1.319219424912982,,,1,2.14611e-09,2.49555e-09,1.162824831905168,,,1,2.48865e-09,2.50245e-09,1.0055451750949311,,,1,2.15301e-09,2.83119e-09,1.3149915699416166,,,1,2.15301e-09,2.50245e-09,1.1623030083464545,,,2,2.15301e-09,2.84499e-09,1.3214012011091447,,,3,2.48175e-09,2.85189e-09,1.1491447567240858,,,5,2.14611e-09,2.84499e-09,1.3256496638103359,,,9,2.48175e-09,3.18753e-09,1.2843880326382593,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/spla.blif,1,2.50245e-09,3.18063e-09,1.2710064137145596,,,1,2.83809e-09,2.84499e-09,1.0024312125408286,,,1,2.83809e-09,3.18753e-09,1.1231250594590023,,,1,2.84499e-09,3.18753e-09,1.1204011261902502,,,1,2.83809e-09,2.84499e-09,1.0024312125408286,,,1,2.50245e-09,3.18063e-09,1.2710064137145596,,,2,2.83809e-09,3.53697e-09,1.2462501189180046,,,4,2.83809e-09,3.87951e-09,1.3669439658361786,,,8,2.83809e-09,4.22895e-09,1.490069025295181,,,12,2.83809e-09,4.23585e-09,1.4925002378360095,,,24,2.84499e-09,4.91403e-09,1.7272573893054104,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/ex1010.blif,1,2.50245e-09,2.83809e-09,1.1341245579332253,,,1,2.49555e-09,2.84499e-09,1.140025244935986,,,1,2.49555e-09,2.83809e-09,1.1372603233756085,,,1,2.83119e-09,2.83809e-09,1.0024371377406673,,,1,2.83809e-09,2.83809e-09,1.0,,,1,2.83809e-09,2.84499e-09,1.0024312125408286,,,2,2.49555e-09,3.19443e-09,1.280050489871972,,,5,2.83119e-09,3.88641e-09,1.3727125343053628,,,10,2.49555e-09,3.53697e-09,1.4173108132475807,,,15,2.49555e-09,3.88641e-09,1.5573360581835667,,,29,2.49555e-09,4.22895e-09,1.6945963815591751,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/frisc.blif,1,8.29024e-09,9.33856e-09,1.126452310186436,,,1,8.28334e-09,9.33856e-09,1.1273906419391213,,,1,8.29024e-09,9.32476e-09,1.124787702165438,,,1,8.28334e-09,9.33856e-09,1.1273906419391213,,,1,8.29024e-09,9.33166e-09,1.125620006175937,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,2,8.28334e-09,1.07018e-08,1.291966767028759,,,4,8.29024e-09,1.07432e-08,1.2958852819701239,,,8,8.29024e-09,1.17777e-08,1.420670571660169,,,12,8.29024e-09,1.41824e-08,1.7107345505075846,,,155,8.29024e-09,1.58744e-08,1.9148299687343187,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/dsip.blif,1,1.10469e-09,1.44723e-09,1.3100779404176737,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.10469e-09,1.44723e-09,1.3100779404176737,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.10469e-09,1.33555e-09,1.2089817052747829,,,2,1.33555e-09,2.37697e-09,1.7797686346449029,,,3,1.10469e-09,2.02753e-09,1.8353836823000116,,,5,1.33555e-09,2.02063e-09,1.5129572086406349,,,20,1.10469e-09,2.37007e-09,2.1454616227176855,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/alu4.blif,1,2.48865e-09,2.83119e-09,1.137640889638961,,,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.48865e-09,2.83119e-09,1.137640889638961,,,1,2.48865e-09,2.83119e-09,1.137640889638961,,,1,2.48865e-09,2.83119e-09,1.137640889638961,,,1,2.48865e-09,2.49555e-09,1.0027725875474656,,,1,2.15301e-09,2.83119e-09,1.3149915699416166,,,2,2.15301e-09,3.19443e-09,1.4837042094555992,,,4,2.15301e-09,2.84499e-09,1.3214012011091447,,,5,2.48865e-09,3.18753e-09,1.2808269543728528,,,10,2.15301e-09,3.52317e-09,1.6363927710507613,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/bigkey.blif,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.33555e-09,1.0,,,2,1.33555e-09,1.68499e-09,1.2616450151622927,,,4,1.33555e-09,2.02753e-09,1.5181236194826102,,,6,1.33555e-09,2.37007e-09,1.7746022238029275,,,11,1.33555e-09,2.37007e-09,1.7746022238029275,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/pdc.blif,1,2.85189e-09,2.85189e-09,1.0,,,1,2.85189e-09,3.53697e-09,1.240219643815154,,,1,2.85189e-09,2.85189e-09,1.0,,,1,2.85189e-09,3.19443e-09,1.1201098219075771,,,1,2.85189e-09,3.19443e-09,1.1201098219075771,,,1,2.85189e-09,3.18753e-09,1.1176903737521433,,,2,2.85189e-09,3.55077e-09,1.2450585401260217,,,5,2.84499e-09,4.57149e-09,1.6068562631151602,,,10,2.84499e-09,4.57149e-09,1.6068562631151602,,,15,2.85189e-09,4.91403e-09,1.7230783796008962,,,29,2.85189e-09,4.57839e-09,1.6053880058487529,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/elliptic.blif,1,5.52232e-09,5.87866e-09,1.0645272276869142,,,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,6.2143e-09,1.1253060307986498,,,2,5.52232e-09,6.56374e-09,1.188583783627171,,,4,5.52232e-09,8.63968e-09,1.5645018760231209,,,8,5.52232e-09,8.31094e-09,1.504972547769778,,,12,5.52232e-09,9.98914e-09,1.808866563328456,,,98,5.52232e-09,1.20444e-08,2.1810398528154833,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
