1,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,9e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8.88e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2.5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,4.4e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.49e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.48e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.47e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,
/home/dsmu186/ths/workflow/blifs/alu4.blif,1,2.48175e-09,2.82429e-09,1.138023572076156,,,1,2.14611e-09,2.48865e-09,1.159609712456491,,,1,2.15301e-09,2.48865e-09,1.1558933771789262,,,1,2.13921e-09,2.83119e-09,1.323474553690381,,,1,2.15301e-09,2.83119e-09,1.3149915699416166,,,1,2.48865e-09,2.83119e-09,1.137640889638961,,,1,2.48175e-09,2.82429e-09,1.138023572076156,,,1,2.14611e-09,2.83119e-09,1.319219424912982,,,2,2.14611e-09,3.19443e-09,1.4884744957155038,,,4,2.48865e-09,3.19443e-09,1.2835995419203183,,,5,2.48175e-09,3.17373e-09,1.2788274403142943,,,10,2.13921e-09,3.51627e-09,1.6437236175971501,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/clma.blif,1,4.78165e-09,5.85796e-09,1.2250917570294773,,,1,4.45981e-09,5.52922e-09,1.2397882421,,,1,5.20048e-09,5.87866e-09,1.1304071931821678,,,1,5.52922e-09,5.86486e-09,1.0607029562940162,,,1,5.20048e-09,5.54302e-09,1.0658669968925945,,,1,5.20048e-09,5.52922e-09,1.063213395686552,,,2,5.20048e-09,6.2488e-09,1.2015813924868473,,,4,5.20048e-09,6.2212e-09,1.1962741900747622,,,9,5.20048e-09,9.33166e-09,1.794384364520198,,,18,5.20048e-09,9.33166e-09,1.794384364520198,,,27,5.20048e-09,9.688e-09,1.8629049626188352,,,63,5.20048e-09,6.57064e-09,1.263467987570378,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/frisc.blif,1,8.29024e-09,9.33166e-09,1.125620006175937,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,1,8.28334e-09,9.32476e-09,1.125724647304107,,,1,8.28334e-09,9.33856e-09,1.1273906419391213,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,1,8.28334e-09,9.33166e-09,1.126557644621614,,,1,8.29024e-09,9.32476e-09,1.124787702165438,,,2,8.29024e-09,1.07018e-08,1.2908914579071291,,,4,8.29024e-09,1.1072e-08,1.33554637742695,,,8,8.29024e-09,1.17777e-08,1.420670571660169,,,12,8.28334e-09,1.41824e-08,1.7121595877991245,,,155,8.29024e-09,1.58744e-08,1.9148299687343187,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/des.blif,1,2.14611e-09,2.48865e-09,1.159609712456491,,,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.15301e-09,2.48865e-09,1.1558933771789262,,,1,2.14611e-09,2.49555e-09,1.162824831905168,,,1,2.14611e-09,2.13231e-09,0.9935697611026462,,,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.13921e-09,2.48175e-09,1.1601245319533846,,,1,2.13921e-09,2.13231e-09,0.9967745102163883,,,2,2.14611e-09,2.83809e-09,1.322434544361659,,,4,2.14611e-09,3.20133e-09,1.4916896151641807,,,5,2.15301e-09,3.18753e-09,1.4804993938718352,,,10,2.13231e-09,3.53697e-09,1.658750369317782,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/elliptic.blif,1,5.52232e-09,6.2143e-09,1.1253060307986498,,,1,5.52232e-09,6.2143e-09,1.1253060307986498,,,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,5.87866e-09,1.0645272276869142,,,1,5.52232e-09,6.2143e-09,1.1253060307986498,,,1,5.52232e-09,6.2143e-09,1.1253060307986498,,,2,5.51542e-09,6.54994e-09,1.1875686711075493,,,4,5.51542e-09,8.65348e-09,1.5689612033172453,,,8,5.52232e-09,8.31094e-09,1.504972547769778,,,12,5.52232e-09,9.98914e-09,1.808866563328456,,,98,5.52232e-09,1.20444e-08,2.1810398528154833,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/bigkey.blif,1,1.32865e-09,1.33555e-09,1.0051932412599256,,,1,1.33555e-09,1.33555e-09,1.0,,,1,1.33555e-09,1.33555e-09,1.0,,,1,1.32865e-09,1.33555e-09,1.0051932412599256,,,1,1.33555e-09,1.32865e-09,0.9948335891580248,,,1,1.32865e-09,1.33555e-09,1.0051932412599256,,,1,1.32865e-09,1.33555e-09,1.0051932412599256,,,1,1.33555e-09,1.33555e-09,1.0,,,2,1.33555e-09,2.05552e-09,1.5390812773763618,,,4,1.33555e-09,1.78287e-09,1.3349331735988919,,,6,1.33555e-09,2.37007e-09,1.7746022238029275,,,11,1.33555e-09,2.03443e-09,1.5232900303245853,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/s298.blif,1,5.52232e-09,6.93388e-09,1.255609961030871,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,1,5.52922e-09,7.26952e-09,1.3147460220428921,,,1,5.52232e-09,7.27642e-09,1.3176382390009995,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,1,5.49433e-09,7.27642e-09,1.324350739762628,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,3,5.52232e-09,8.99602e-09,1.6290291037100348,,,5,5.48743e-09,8.65348e-09,1.5769640797240239,,,7,5.52922e-09,8.66038e-09,1.5662932565533656,,,14,5.52922e-09,9.34546e-09,1.6901950003798003,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/apex2.blif,1,2.83119e-09,2.84499e-09,1.0048742754813347,,,1,2.48865e-09,3.16683e-09,1.2725091917304563,,,1,2.83809e-09,3.17373e-09,1.1182626343773452,,,1,2.84499e-09,3.18063e-09,1.1179758101082955,,,1,2.83119e-09,2.84499e-09,1.0048742754813347,,,1,2.83119e-09,3.18063e-09,1.1234251321882318,,,1,2.50245e-09,2.84499e-09,1.1368818557813343,,,1,2.83119e-09,2.84499e-09,1.0048742754813347,,,2,2.48865e-09,3.53007e-09,1.4184678440118135,,,4,2.14611e-09,3.53697e-09,1.6480842081719949,,,6,2.83119e-09,3.87951e-09,1.3702753965646954,,,12,2.83119e-09,4.22205e-09,1.49126339101226,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/s38584.1.blif,1,2.05552e-09,4.93512e-09,2.4009107184556706,,,1,3.18063e-09,4.61328e-09,1.450429631865385,,,1,3.21552e-09,4.60638e-09,1.4325459023734886,,,1,3.11074e-09,4.61328e-09,1.48301690273054,,,1,3.21552e-09,4.61328e-09,1.4346917450365724,,,1,3.18063e-09,4.60638e-09,1.4482602503277653,,,2,3.21552e-09,5.6478e-09,1.7564188684878341,,,3,3.18063e-09,5.6547e-09,1.7778553305477218,,,7,3.18063e-09,5.99034e-09,1.8833815942124674,,,14,3.18063e-09,5.99034e-09,1.8833815942124674,,,20,3.21552e-09,5.99034e-09,1.862945962083893,,,104,3.18063e-09,5.97654e-09,1.8790428311372276,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/ex1010.blif,1,2.83809e-09,2.83809e-09,1.0,,,1,2.48865e-09,2.83809e-09,1.1404134771864263,,,1,2.48865e-09,2.84499e-09,1.1431860647338918,,,1,2.49555e-09,2.83809e-09,1.1372603233756085,,,1,2.83119e-09,2.83809e-09,1.0024371377406673,,,1,2.49555e-09,2.83809e-09,1.1372603233756085,,,1,2.83809e-09,2.84499e-09,1.0024312125408286,,,2,2.83119e-09,3.53697e-09,1.249287402117131,,,5,2.83119e-09,3.52317e-09,1.2444131266357963,,,10,2.14611e-09,3.87261e-09,1.804478801179809,,,15,2.83119e-09,3.88641e-09,1.3727125343053628,,,29,2.48865e-09,4.22205e-09,1.696522210837201,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
